	Unnamed: 0	mask_dim	acs_type	acc	bloc	kernel	std_noise	lr_mask	lr_other	test_ssim	test_psnr	test_loss	test_loss_denorm
227	0	[4, 4]	square	0.125	1	[11, 11]	0.0175	0.01	0.01	1.0	inf	0.0	0.0
231	0	[4, 4]	square	0.125	1	[11, 11]	0.0175	0.01	0.001	1.0	inf	0.0	0.0
235	0	[4, 4]	square	0.125	1	[11, 11]	0.0175	0.001	0.01	1.0	inf	0.0	0.0
238	0	[4, 4]	square	0.125	1	[11, 11]	0.0175	0.01	0.0001	1.0	inf	0.0	0.0
239	0	[4, 4]	square	0.125	1	[11, 11]	0.0175	0.001	0.001	1.0	inf	0.0	0.0
240	0	[4, 4]	square	0.125	1	[11, 11]	0.0175	0.001	0.0001	1.0	inf	0.0	0.0
244	0	[4, 4]	square	0.125	1	[11, 11]	0.0175	0.0001	0.01	1.0	inf	0.0	0.0
246	0	[4, 4]	square	0.125	1	[11, 11]	0.0175	0.0001	0.001	1.0	inf	0.0	0.0
248	0	[4, 4]	square	0.125	1	[11, 11]	0.0175	0.0001	0.0001	1.0	inf	0.0	0.0
250	0	[4, 4]	square	0.125	1	[11, 11]	0.05	0.01	0.001	1.0	inf	0.0	0.0
253	0	[4, 4]	square	0.125	1	[11, 11]	0.05	0.01	0.01	1.0	inf	0.0	0.0
254	0	[4, 4]	square	0.125	1	[11, 11]	0.05	0.01	0.0001	1.0	inf	0.0	0.0
259	0	[4, 4]	square	0.125	1	[11, 11]	0.05	0.001	0.001	1.0	inf	0.0	0.0
260	0	[4, 4]	square	0.125	1	[11, 11]	0.05	0.001	0.01	1.0	inf	0.0	0.0
261	0	[4, 4]	square	0.125	1	[11, 11]	0.05	0.001	0.0001	1.0	inf	0.0	0.0
262	0	[4, 4]	square	0.125	1	[11, 11]	0.05	0.0001	0.01	1.0	inf	0.0	0.0
264	0	[4, 4]	square	0.125	1	[11, 11]	0.05	0.0001	0.001	1.0	inf	0.0	0.0
266	0	[4, 4]	square	0.125	1	[11, 11]	0.05	0.0001	0.0001	1.0	inf	0.0	0.0
268	0	[4, 4]	square	0.125	1	[13, 13]	0.0175	0.01	0.001	1.0	inf	0.0	0.0
270	0	[4, 4]	square	0.125	1	[13, 13]	0.0175	0.01	0.01	1.0	inf	0.0	0.0
271	0	[4, 4]	square	0.125	1	[13, 13]	0.0175	0.01	0.0001	1.0	inf	0.0	0.0
274	0	[4, 4]	square	0.125	1	[13, 13]	0.0175	0.001	0.001	1.0	inf	0.0	0.0
276	0	[4, 4]	square	0.125	1	[13, 13]	0.0175	0.001	0.0001	1.0	inf	0.0	0.0
