	Unnamed: 0	mask_dim	acs_type	acc	bloc	kernel	std_noise	lr_mask	lr_other	test_ssim	test_psnr	test_loss	test_loss_denorm
0	0	[121, 145]	square	0.125	1	[11, 11]	0.0175	0.01	0.0001	0.6159529473599571	22.26792301819712	0.0726101994514465	2.310962353732317e-09
1	0	[121, 145]	no	0.125	1	[11, 11]	0.0175	0.001	0.01	0.4768630285327443	17.68063812770421	0.1763936281204223	6.2995335007226675e-09
2	0	[121, 145]	no	0.125	1	[11, 11]	0.0175	0.01	0.0001	0.3141825118380609	16.057201359011174	0.3442137837409973	1.2097050880327807e-08
3	0	[121, 145]	no	0.125	1	[11, 11]	0.0175	0.001	0.001	0.647923886220317	24.931016459395213	0.0469842478632926	1.3494512113299703e-09
4	0	[121, 145]	square	0.125	1	[11, 11]	0.0175	0.01	0.001	0.6755607130483862	25.2518797002336	0.0445297360420227	1.311513782681951e-09
5	0	[121, 145]	no	0.125	1	[11, 11]	0.0175	0.01	0.001	0.4156898085236526	17.43988929226093	0.1777643114328384	6.668006739585915e-09
6	0	[121, 145]	square	0.125	1	[11, 11]	0.0175	0.01	0.01	0.6268749309489479	24.46139372351677	0.0580171421170234	1.555153810548693e-09
7	0	[121, 145]	no	0.125	1	[11, 11]	0.0175	0.01	0.01	0.4669706973188998	17.999287157480566	0.1686513870954513	6.0183461571717395e-09
8	0	[121, 145]	square	0.125	1	[11, 11]	0.0175	0.001	0.01	0.6563460096001649	25.174221194020006	0.0509262792766094	1.3143867295709964e-09
9	0	[121, 145]	square	0.125	1	[11, 11]	0.0175	0.001	0.001	0.7097556716873972	27.118723459579662	0.0286457128822803	7.685987436842092e-10
10	0	[121, 145]	square	0.125	1	[11, 11]	0.0175	0.001	0.0001	0.7126935378343271	25.555094219387502	0.0336984768509864	1.0311457567088351e-09
11	0	[121, 145]	no	0.125	1	[11, 11]	0.0175	0.001	0.0001	0.4243722295516736	18.3288011092501	0.165360614657402	5.609719198313307e-09
12	0	[121, 145]	no	0.125	1	[11, 11]	0.0175	0.0001	0.01	0.4704590469180938	17.738203099598206	0.1953972429037094	6.448491302275662e-09
13	0	[121, 145]	no	0.125	1	[11, 11]	0.05	0.01	0.01	0.4728220058611849	18.11019821129904	0.1691365838050842	6.013554662228305e-09
14	0	[121, 145]	square	0.125	1	[11, 11]	0.05	0.01	0.01	0.644437950224996	25.003603286204665	0.0525681711733341	1.354866343133427e-09
15	0	[121, 145]	no	0.125	1	[11, 11]	0.05	0.01	0.001	0.5745232452118814	22.098040492537315	0.0738367065787315	2.350303502986246e-09
16	0	[121, 145]	square	0.125	1	[11, 11]	0.0175	0.0001	0.01	0.6775097873894554	24.812095581381318	0.045904703438282	1.1019493804411667e-09
17	0	[121, 145]	no	0.125	1	[11, 11]	0.0175	0.0001	0.001	0.4979306859408833	21.13578451974	0.1175697818398475	3.127092651045384e-09
18	0	[121, 145]	no	0.125	1	[11, 11]	0.0175	0.0001	0.0001	0.6922441568476666	25.84064176049425	0.0396964736282825	8.770038293534552e-10
19	0	[121, 145]	square	0.125	1	[11, 11]	0.0175	0.0001	0.001	0.7236044863250765	26.71502841035022	0.0279616340994834	7.129253777296451e-10
20	0	[121, 145]	square	0.125	1	[11, 11]	0.0175	0.0001	0.0001	0.7464305971057712	26.93391818471376	0.0232325959950685	6.21415266375219e-10
21	0	[121, 145]	square	0.125	1	[11, 11]	0.05	0.01	0.001	0.6953176567826168	26.45756836844821	0.0331995487213134	9.147532429344721e-10
22	0	[121, 145]	no	0.125	1	[11, 11]	0.05	0.01	0.0001	0.3634212376787813	16.404138986526974	0.2452020794153213	8.954181359206657e-09
23	0	[121, 145]	no	0.125	1	[11, 11]	0.05	0.001	0.01	0.4748654142388101	18.345751545662136	0.1537891030311584	5.3276017640368276e-09
24	0	[121, 145]	square	0.125	1	[11, 11]	0.05	0.01	0.0001	0.6536246720989481	23.434334773669185	0.05717159435153	1.791339746603299e-09
